sn,z,dz,mbstar,dmbstar,x1,dx1,c,dc,chisq,dof
ZTF18acqsztr,0.0835537083761051,0.0,18.4947138180299,0.0179349821755251,0.480828066146189,0.251332580930371,-0.0598817219895086,0.0200446186035526,92.0,92
ZTF18acrxppd,0.0367987345251916,0.0,16.8759307992759,0.0148200294422545,0.21485291409728,0.143102823264668,-0.0211274231138998,0.0144906674576465,110.0,110
ZTF18acsohut,0.100340585743801,0.0,18.8177184809077,0.0475541414895047,-0.802946386886641,0.400050199735762,-0.12558435372377,0.0459207737943769,108.0,108
ZTF18acspjqd,0.0711834326961434,0.0,18.6989899379583,0.0975540665864095,1.9565486433026,0.998600250637825,0.325737145958903,0.0787475539193839,51.0,51
ZTF18acsxpmp,0.0710306569360044,0.0,18.4528460206242,0.0373027454321656,-0.0133093542219645,0.288630093514921,0.0059628090339727,0.0272820088851098,65.0,65
ZTF18acusbyf,0.0208497797218046,0.0,16.4002153811013,0.0486792851846603,-1.7928162887663,0.197513067830636,0.138222227244435,0.0349443789691269,72.0,72
ZTF18acusrws,0.0371253910264252,0.0,16.8209219500864,0.0295650718696545,0.360034947736521,0.196624884801474,-0.0678310664001272,0.0217192650806307,122.0,122
ZTF18acwwowy,0.0550724325384358,0.0,17.6070134199232,0.0244183123721495,0.339755252682497,0.21809130379387,-0.0395725026023424,0.01928618257362,186.0,186
ZTF18acxyarg,0.0408278443318453,0.0,17.3204689366121,0.0394635671327185,-0.41048955839565,0.306788653062003,0.0176529586985649,0.0316386284002218,86.0,86
ZTF18acybdar,0.0643620085774592,0.0,17.9302068835797,0.0175953956318797,1.02439230398617,0.213841415331084,-0.0399288614418015,0.0162890176434065,190.0,190
ZTF18acynmcp,0.0685675411562089,0.0,18.1028230014972,0.0699157574944907,-3.05456394824446,0.780769926734378,-0.164261130784686,0.0625492597851426,41.0,41
ZTF19aaarhtg,0.0276643791543036,0.0,18.7115033238156,0.0520160250744692,-3.11863423131767,0.22559118866143,0.552874478596239,0.0356968763658292,223.0,223
ZTF19aabvfwn,0.0409259476875911,0.0,17.4782879728006,0.0349532133083697,-1.62320654531968,0.320967107029729,-0.0303190431690281,0.029776226096057,48.0,48
ZTF19aacijie,0.0615859368350546,0.0,18.2493398902676,0.0174274662110253,-1.67386328387888,0.131116533102032,-0.0675841433931693,0.0125170353662261,350.0,350
ZTF19aacivvy,0.0331993940445149,0.0,16.4523161451292,0.0650832229801938,0.922191613478594,0.591258840534862,-0.153583510324279,0.0493562349659841,79.0001,79
ZTF19aaekvhn,0.0615510563338644,0.0,18.1052674725674,0.0408868474126438,-0.519615317581837,0.242937253859119,-0.0614023061650831,0.0320832692919765,123.003,123
ZTF19aaeopqn,0.0380536979979772,0.0,19.2271110007043,0.153488732878348,-3.79888052997658,0.838037993447777,0.525986985392785,0.119226161077969,182.0,182
ZTF19aaeoqkk,0.0693096396819212,0.0,18.3578068267187,0.045952129405605,0.22911846926399,0.344908440632328,0.0630262482298044,0.0377073454907611,450.011,450
ZTF19aafmfxg,0.0479885290747008,0.0,16.9632458328082,0.0563599263943297,0.529348443009579,0.661890883900677,0.0126285537433553,0.0793805709349573,46.0,46
ZTF19aafmhcl,0.0693520069354792,0.0,17.8058197491987,0.154845686858482,0.86565883749952,0.650253072499781,-0.0995648271176004,0.116823684014523,96.0,96
ZTF19aafwrhf,0.052752096704711,0.0,18.0380495768955,0.0818486553435653,-3.26087437569158,0.221483368242757,0.174221907124076,0.0572339773838985,314.0,314
ZTF19aagmsrr,0.0232130690839247,0.0,15.8237914722409,0.0762617385027701,0.316903827491674,0.607154518608676,-0.0180468795397875,0.0693420624127226,80.0,80
ZTF19aailqli,0.0562151164921979,0.0,17.8311661224434,0.0286539445871366,0.70382052657661,0.223086421387626,0.0250547419289655,0.0227005976019357,305.007,305
ZTF19aailteb,0.0772784267226005,0.0,18.3448104563886,0.0601658553723716,1.1064325078766,0.542766542593878,-0.0695472607805851,0.0478351648445907,245.002,245
ZTF19aajwhbc,0.0994683046074518,0.0,18.9740280910007,0.0182683278485114,0.322212609120285,0.173316864991966,-0.0459836846329853,0.0169744465726555,337.0,337
ZTF19aakiyly,0.0661849864212776,0.0,18.0280918903248,0.0677853474715394,0.679720853098066,0.416364946815886,-0.0816719673199648,0.0509411487806624,77.0,77
ZTF19aaldqvh,0.0993966687901922,0.0,18.9124745402417,0.043943469164878,0.178660676349674,0.410864461557826,0.0910930610724205,0.0374763016161623,149.0,149
ZTF19aalveag,0.0507847292856897,0.0,18.0932275707054,0.0266861267799669,-1.38078324638697,0.145503339054839,-0.0139464574103168,0.0214879226930908,129.0,129
ZTF19aalzmmt,0.0632926641804842,0.0,17.8877776123532,0.110327829139846,1.56744699942351,0.722058559106363,-0.0149256705344286,0.0762218831998296,76.0,76
ZTF19aamfxby,0.0756540903153166,0.0,18.1949048115547,0.0139464680392681,1.24287812415535,0.12331963449365,0.0838883821085343,0.0119601780287308,155.0,155
ZTF19aamhhyo,0.0782497127090156,0.0,18.6800324753689,0.028579869753852,-0.233106013622029,0.214526255959847,-0.0230369778330923,0.0226295786775663,142.0,142
ZTF19aamkywr,0.0308595991827513,0.0,16.593364439143,0.0553726989437153,-1.63287411018966,0.407289594134082,-0.414477957283588,0.0564694168083168,88.0,88
ZTF19aammewd,0.0581482767806029,0.0,17.8264030831964,0.0506525298055633,-1.30516577698394,0.239407592679724,-0.1432384040681,0.0377734182219715,28.0001,28
ZTF19aamooex,0.083186494279654,0.0,18.8246793361829,0.0150273427989745,0.443623997882547,0.140078694793095,0.0642345712249365,0.0135214503071736,279.0,279
ZTF19aanejfr,0.0429342117530389,0.0,17.0729189030364,0.0115555889033558,0.75217131089225,0.123995181128491,-0.0195667147320887,0.0106501166519353,52.0,52
ZTF19aanesxt,0.0463640566016695,0.0,17.4621149618957,0.0164507869018668,0.453707378460865,0.167766567168294,-0.0653639617073915,0.0167673375836002,101.0,101
ZTF19aanhgqg,0.027869814662218,0.0,17.2154687490649,0.0398308193576668,-2.44985064439633,0.221815594057191,0.125098566905557,0.0319404946151178,91.0001,91
ZTF19aanmclt,0.0458167585453295,0.0,19.5196930776944,0.102812243926967,-3.01935661183133,0.483421817026119,0.563605994649735,0.071073326251724,70.0001,70
ZTF19aanuipr,0.0703393977244499,0.0,18.652416120471,0.0348183861046554,0.315265405484168,0.227959410590819,0.105696590475397,0.0267499058992166,294.802,289
ZTF19aanuuen,0.0700753399520255,0.0,18.3160762212978,0.0355892516714624,0.478838781054465,0.316156546757656,-0.013892125787892,0.032652606689123,98.0,98
ZTF19aanxrkt,0.0869371250329342,0.0,18.9385613026208,0.0649664550081847,0.792215759584594,0.52622014504421,0.0372064397783296,0.0530380755092032,53.0,53
ZTF19aaobwpx,0.0526175270324731,0.0,17.7255206204853,0.0137906493128614,-0.263324439720009,0.127465323936795,-0.0497272111455599,0.0117399304535312,306.0,306
ZTF19aaojnrx,0.050815620696469,0.0,18.2615393012534,0.0595989904917129,-2.86795329118571,0.293862157507661,0.0369575970276046,0.0456751940535729,43.0,43
ZTF19aaomkvl,0.0394133069706331,0.0,17.9880078974617,0.0529075393549997,0.750494414504018,0.386085970504874,0.30837388637064,0.0349360849104815,82.0,82
ZTF19aapcvdi,0.0766763976616178,0.0,18.577572256733,0.0798494128173112,0.733392203778756,0.793743210609355,-0.0587847586741563,0.0627262902735177,18.0,18
ZTF19aapcvxi,0.063374989603913,0.0,18.2495405742654,0.110314294310053,-1.22911626586045,1.05654008870662,-0.113129001715086,0.0820410388004417,14.0001,14
ZTF19aaphntn,0.0917570948137914,0.0,18.7709845268448,0.0125818886195438,0.761578261930875,0.138616446026654,-0.0239788765567697,0.011626221304667,233.0,233
ZTF19aapnzde,0.0708704486331666,0.0,18.3308147532074,0.0117992857699953,0.256655012755313,0.110290486705298,-0.0766257807355079,0.0114867093674816,299.0,299
ZTF19aaptwpu,0.0692099389826082,0.0,18.030031551775,0.0116800950226658,0.405423865669462,0.14323522591587,-0.065335195899001,0.0119193704877941,71.0,71
