snname,index,targetid,tileid,petal,night,ra,dec,pmra,pmdec,ref_epoch,override,hemisphere,sn_ra,sn_dec,sn_z,program,priority,tns_name,iau_name,ptfiptf_name,spname,z,zerr,zwarn,chi2,deltachi2,spectype,subtype
10fjh,1,39632966892130347,395,2,20210430,251.73645,34.15563,0.0,0.0,0.0,False,north,251.730659,34.159641,0.032,PTF-iPTF,1.0,None,None,PTF10fjh,PTF10fjh,0.0309753413797046,1.1558175989244e-05,0.0,11573.9993136246,11755.8711954183,GALAXY,
10hmd,1,39632986315950484,200,5,20210506,218.07972648027,35.2713215485938,0.0,0.0,0.0,False,north,218.079821,35.271559,0.17,PTF-iPTF,1.0,None,None,PTF10hmd,PTF10hmd,0.16730066033694,8.44618617087017e-06,0.0,7743.00731176138,876.391274034977,GALAXY,
10htz,1,2305843022014712506,80955,8,20210425,197.156553379814,79.7870263196773,0.0,0.0,0.0,False,north,197.156344,79.787007,0.035388,PTF-iPTF,1.0,None,None,PTF10htz,PTF10htz,0.0353719025788651,8.63955563819646e-07,0.0,108921.396606684,215493.827211023,GALAXY,
10iu,1,39633304550377974,170,4,20210429,213.976733904178,53.698110068439,0.0,0.0,0.0,False,north,213.977301,53.698052,0.185,PTF-iPTF,1.0,None,None,PTF10iu,PTF10iu,0.446808195825557,0.000125405743203055,4.0,7952.13889121264,8.77885489165783,GALAXY,
10mtd,1,39627908968352897,149,7,20210416,210.498468541347,4.98476254819643,0.0,0.0,0.0,False,south,210.498432,4.984788,0.079,PTF-iPTF,1.0,None,None,PTF10mtd,PTF10mtd,-0.00199569129234795,4.13114935733491e-48,1570.0,9e+99,1.94266889222573e+84,STAR,CV
10mtd,1,39627908968352897,150,8,20210418,210.498468541347,4.98476254819643,0.0,0.0,0.0,False,south,210.498432,4.984788,0.079,PTF-iPTF,1.0,None,None,PTF10mtd,PTF10mtd,-0.00199569129234795,4.13114935733491e-48,1570.0,9e+99,1.94266889222573e+84,STAR,CV
10mtd,1,39627908968352897,153,8,20210504,210.498468541347,4.98476254819643,0.0,0.0,0.0,False,south,210.498432,4.984788,0.079,PTF-iPTF,1.0,None,None,PTF10mtd,PTF10mtd,0.0790300527418484,1.18347039017383e-05,0.0,7958.13853862137,619.454406954348,GALAXY,
10vh,1,39627817998091981,66,5,20210406,183.079201383186,1.26947769071534,0.0,0.0,0.0,False,south,183.07922,1.269407,0.079,PTF-iPTF,1.0,None,None,PTF10vh,PTF10vh,0.0789755837874656,3.67989196917371e-06,0.0,11872.0755348802,16039.6943220496,GALAXY,
10wxp,1,39632991722410078,391,5,20210410,252.5268336942,35.4445629807631,0.0,0.0,0.0,False,north,252.525629,35.443177,0.06,PTF-iPTF,1.0,None,None,PTF10wxp,PTF10wxp,0.0599788230214453,1.82912988911154e-05,0.0,10718.7031684257,8039.21481654001,GALAXY,
10wxp,1,39632991722410078,395,5,20210430,252.5268336942,35.4445629807631,0.0,0.0,0.0,False,north,252.525629,35.443177,0.06,PTF-iPTF,1.0,None,None,PTF10wxp,PTF10wxp,0.0599348517593727,1.6471656107682e-05,0.0,12298.9126517754,10943.1485626157,GALAXY,
10wxp,1,39632991722410078,399,5,20210508,252.5268336942,35.4445629807631,0.0,0.0,0.0,False,north,252.525629,35.443177,0.06,PTF-iPTF,1.0,None,None,PTF10wxp,PTF10wxp,0.0599661591552648,1.75575845505304e-05,0.0,10684.7487995606,8543.87340849196,GALAXY,
10wxp,1,39632991722410078,400,5,20210529,252.5268336942,35.4445629807631,0.0,0.0,0.0,False,north,252.525629,35.443177,0.06,PTF-iPTF,1.0,None,None,PTF10wxp,PTF10wxp,0.0599225231098624,1.26617550828609e-05,0.0,13131.5252191946,18676.9813298392,GALAXY,
11aqu,1,39633318278336562,81057,3,20210324,169.184375,54.7023611111,0.0,0.0,0.0,False,north,169.209234,54.731473,0.045,PTF-iPTF,1.0,None,None,PTF11aqu,PTF11aqu,0.0403480747289566,7.4292295566496e-06,0.0,21406.9254095629,33110.3282456873,GALAXY,
11daj,1,39627841603637686,15,8,20210412,150.165979034693,2.15586175271563,0.0,0.0,0.0,False,north,150.166883,2.155025,0.106,PTF-iPTF,1.0,None,None,PTF11daj,PTF11daj,0.105500264921722,5.10557805396006e-06,0.0,8155.66241449118,2289.05404287577,GALAXY,
11dwn,1,39632976375451507,199,3,20210505,216.092872003332,34.8093680950429,0.0,0.0,0.0,False,north,216.092706,34.809396,0.181,PTF-iPTF,1.0,None,None,PTF11dwn,PTF11dwn,0.181202986342963,9.31336933999761e-06,0.0,7827.76024967432,919.463244974613,GALAXY,
11ftp,1,39628493738213744,80616,5,20201223,356.254160479075,30.4492343726629,0.0,0.0,0.0,False,south,356.253741,30.449426,0.13,PTF-iPTF,1.0,None,None,PTF11ftp,PTF11ftp,0.129651452020823,9.06595210538314e-07,0.0,11258.001750946,50110.5544433594,GALAXY,
11gcc,1,39628465154031779,121,4,20210416,194.027504597418,29.2865018176108,0.0,0.0,0.0,False,south,194.028687,29.287192,0.087,PTF-iPTF,1.0,None,None,PTF11gcc,PTF11gcc,-0.00199569129234795,4.13114935733491e-48,1570.0,9e+99,1.94266889222573e+84,STAR,CV
11gcc,1,39628465154031779,122,4,20210417,194.027504597418,29.2865018176108,0.0,0.0,0.0,False,south,194.028687,29.287192,0.087,PTF-iPTF,1.0,None,None,PTF11gcc,PTF11gcc,0.0908180116898744,1.18095078048524e-06,0.0,10349.3048906326,38417.6548762321,GALAXY,
11gcc,1,39628465154031779,124,4,20210430,194.027504597418,29.2865018176108,0.0,0.0,0.0,False,south,194.028687,29.287192,0.087,PTF-iPTF,1.0,None,None,PTF11gcc,PTF11gcc,0.0908044444176608,1.10700716796834e-06,0.0,11207.6643447876,45854.425655365,GALAXY,
