snname,index,targetid,tileid,petal,night,ra,dec,pmra,pmdec,ref_epoch,override,hemisphere,sn_ra,sn_dec,sn_z,program,priority,tns_name,iau_name,ptfiptf_name,spname,z,zerr,zwarn,chi2,deltachi2,spectype,subtype
09fr,1,39633166704576982,20777,8,20210617,222.499032132068,44.9171923806087,0.0,0.0,0.0,False,north,222.500508,44.918276,0.08,PTF-iPTF,1.0,None,None,PTF09fr,PTF09fr,0.0798720381609873,1.05442511932226e-05,0.0,17377.2549580038,8131.53820838034,GALAXY,
09gpu,1,39633481138964427,20004,2,20210519,176.348070400473,68.9517529681835,0.0,0.0,0.0,False,north,176.352927,68.951986,0.08,PTF-iPTF,1.0,None,None,PTF09gpu,PTF09gpu,0.0819729021435061,4.1135411815619e-06,0.0,10416.8109753132,4611.96152853966,GALAXY,
09iag,1,39627927029023382,148,6,20210407,210.656535980425,5.74737581190396,0.0,0.0,0.0,False,south,210.659489,5.747455,0.075,PTF-iPTF,1.0,None,None,PTF09iag,PTF09iag,0.062693030485393,1.38722008044663e-05,0.0,10655.1184877045,3060.7122737281,GALAXY,
09iag,1,39627927029023382,153,6,20210504,210.656535980425,5.74737581190396,0.0,0.0,0.0,False,south,210.659489,5.747455,0.075,PTF-iPTF,1.0,None,None,PTF09iag,PTF09iag,0.0626230194210924,1.66193996713816e-05,0.0,11841.5839161426,3452.28842313588,GALAXY,
09iag,1,39627927029023382,156,6,20210508,210.656535980425,5.74737581190396,0.0,0.0,0.0,False,south,210.659489,5.747455,0.075,PTF-iPTF,1.0,None,None,PTF09iag,PTF09iag,0.0626744055259319,1.4196209656698e-05,0.0,12012.6960553899,3182.39730276912,GALAXY,
09idu,1,39633300511263781,81057,2,20210324,169.828425980696,53.6176885698633,0.0,0.0,0.0,False,north,169.828158,53.617646,0.1067,PTF-iPTF,1.0,None,None,PTF09idu,PTF09idu,0.106798093011502,3.12854587337456e-05,0.0,11282.2298155185,3457.43695991021,GALAXY,
09inv,2,39627691661460487,20083,3,20210518,211.090035953708,-4.06047196291791,0.0,0.0,0.0,False,south,211.088857,-4.060858,0.05,PTF-iPTF,1.0,None,None,PTF09inv,PTF09inv,0.0544417176918548,7.25781293241575e-06,0.0,9857.75190261006,725.796377390623,GALAXY,
09pr,1,39633204503645051,20771,2,20210618,223.991991452995,47.2129365378156,0.0,0.0,0.0,False,north,223.991635,47.212915,0.031,PTF-iPTF,1.0,None,None,PTF09pr,PTF09pr,0.0310998621143803,4.51323112080504e-06,0.0,9950.40523092449,1614.64114864171,GALAXY,
09ps,1,39633332819987400,310,6,20210410,243.535685612622,55.6947960893799,0.0,0.0,0.0,False,north,243.535898,55.694846,0.1065,PTF-iPTF,1.0,None,None,PTF09ps,PTF09ps,0.107274179956556,8.12777596828043e-06,0.0,8947.29454320669,602.996044933796,GALAXY,
09ps,2,39633332819987400,310,6,20210410,243.53629345387,55.6949796893061,0.0,0.0,0.0,False,north,243.535898,55.694846,0.1065,PTF-iPTF,1.0,None,None,PTF09ps,PTF09ps,0.107274179956556,8.12777596828043e-06,0.0,8947.29454320669,602.996044933796,GALAXY,
09si,1,39633132084789477,336,0,20210407,241.03815,42.88932,0.0,0.0,0.0,False,north,241.041463,42.890875,0.038,PTF-iPTF,1.0,None,None,PTF09si,PTF09si,-0.00199569129234795,4.13114935733491e-48,1570.0,9e+99,1.94266889222573e+84,STAR,CV
09si,1,39633132084789477,337,0,20210410,241.03815,42.88932,0.0,0.0,0.0,False,north,241.041463,42.890875,0.038,PTF-iPTF,1.0,None,None,PTF09si,PTF09si,0.0392834468507707,1.11751838644876e-05,0.0,10135.377725035,2530.19764870405,GALAXY,
09si,1,39633132084789477,343,0,20210430,241.03815,42.88932,0.0,0.0,0.0,False,north,241.041463,42.890875,0.038,PTF-iPTF,1.0,None,None,PTF09si,PTF09si,0.0392666197297124,6.15333983490531e-06,0.0,13024.7109711617,5881.23457689583,GALAXY,
09uj,1,39633300964248355,179,4,20210428,215.045251924977,53.5616671847243,0.0,0.0,0.0,False,north,215.046455,53.561401,0.0657,PTF-iPTF,1.0,None,None,PTF09uj,PTF09uj,0.0649772300782269,6.76911963569104e-06,0.0,8272.86734034121,825.480250820518,GALAXY,
09uj,1,39633300964248355,183,5,20210509,215.045251924977,53.5616671847243,0.0,0.0,0.0,False,north,215.046455,53.561401,0.0657,PTF-iPTF,1.0,None,None,PTF09uj,PTF09uj,0.064989944133686,6.23396754334904e-06,0.0,8587.49329037964,841.24261932075,GALAXY,
09uj,1,39633300964248355,184,5,20210529,215.045251924977,53.5616671847243,0.0,0.0,0.0,False,north,215.046455,53.561401,0.0657,PTF-iPTF,1.0,None,None,PTF09uj,PTF09uj,0.064989755614653,6.60548776552251e-06,0.0,8253.33375620842,1070.92278302251,GALAXY,
09wa,1,39628527959542665,21220,9,20210519,222.666670257598,32.2710391282307,0.0,0.0,0.0,False,north,222.667369,32.270088,0.09,PTF-iPTF,1.0,None,None,PTF09wa,PTF09wa,0.0868784655363401,5.813904710751e-06,0.0,9739.43218314648,1645.80821955204,GALAXY,
10bbo,2,39627998994895096,20115,6,20210611,211.320697747472,8.7956744200877,0.0,0.0,0.0,False,south,211.3248,8.795191,0.15,PTF-iPTF,1.0,None,None,PTF10bbo,PTF10bbo,0.157557354873718,1.469170934881e-05,0.0,9062.4986525625,907.149854436517,GALAXY,
10bci,1,39633345692304588,81066,5,20210326,179.203758838581,56.6731484654392,0.0,0.0,0.0,False,north,179.202475,56.673317,0.118,PTF-iPTF,1.0,None,None,PTF10bci,PTF10bci,0.118821156709904,1.07809406559831e-05,0.0,8924.39950805902,1237.21595162153,GALAXY,
10bcn,1,39633001016986232,21163,9,20210607,213.489002026154,36.1232394923348,0.0,0.0,0.0,False,north,213.489264,36.123365,0.154,PTF-iPTF,1.0,None,None,PTF10bcn,PTF10bcn,0.155153644953232,7.63911783292555e-06,0.0,10127.6887279749,2207.08925974369,GALAXY,
10bhw,1,39627999015865113,20122,0,20210612,212.47817513374,8.84870318268339,0.0,0.0,0.0,False,south,212.479712,8.849363,0.11,PTF-iPTF,1.0,None,None,PTF10bhw,PTF10bhw,0.108146773349437,2.66223625311997e-05,0.0,9335.01672440954,1964.45452370471,GALAXY,
10bmr,1,39627679632196564,20083,8,20210518,212.874778777415,-4.5462690163964,0.0,0.0,0.0,False,south,212.873488,-4.546522,0.1447,PTF-iPTF,1.0,None,None,PTF10bmr,PTF10bmr,0.144247990273761,1.45163966230005e-05,0.0,11171.1418050826,889.554417670704,GALAXY,
10bzf,1,39633332178260069,81058,2,20210324,176.01244093086,55.6895536122963,0.0,0.0,0.0,False,north,176.012451,55.69101,0.0498,PTF-iPTF,1.0,None,None,PTF10bzf,PTF10bzf,0.0499259353566804,5.69452824385673e-06,0.0,8351.11528001726,815.810450449586,GALAXY,
10ctd,1,39627835551257442,80742,1,20210328,149.478217907794,2.11980992742847,0.0,0.0,0.0,False,north,149.478442,2.1198,0.1255,PTF-iPTF,1.0,None,None,PTF10ctd,PTF10ctd,0.125295435180796,9.83285195329747e-06,0.0,12536.1405959427,9994.41922708414,GALAXY,
10ctd,1,39627835551257442,16,3,20210417,149.478217907794,2.11980992742847,0.0,0.0,0.0,False,north,149.478442,2.1198,0.1255,PTF-iPTF,1.0,None,None,PTF10ctd,PTF10ctd,1.20427667064869,0.000352546991797768,4.0,3514.68389344029,0.673584649339318,GALAXY,
10ctd,1,39627835551257442,17,2,20210429,149.478217907794,2.11980992742847,0.0,0.0,0.0,False,north,149.478442,2.1198,0.1255,PTF-iPTF,1.0,None,None,PTF10ctd,PTF10ctd,0.125299404405428,1.58808079511384e-05,0.0,9761.79834546894,3308.06368465852,GALAXY,
10ctd,1,39627835551257442,21,3,20210503,149.478217907794,2.11980992742847,0.0,0.0,0.0,False,north,149.478442,2.1198,0.1255,PTF-iPTF,1.0,None,None,PTF10ctd,PTF10ctd,0.125332172999114,1.72517420527135e-05,0.0,10404.9311551303,3258.51089771092,GALAXY,
