snname,index,ra,dec,pmra,pmdec,ref_epoch,override,hemisphere,sn_ra,sn_dec,sn_z,program,priority,tns_name,iau_name,ptfiptf_name,spname,z,zerr,zdisp
SNF20080514-006,1,210.573467383944,23.5518451371524,0.0,0.0,0.0,False,south,210.5733,23.5521,-9999.0,search_selection,3.0,None,None,None,SNF20080514-006,,,
SNF20080515-003,1,218.267209614976,43.1558633022638,0.0,0.0,0.0,False,north,218.2641,43.1579,-9999.0,historical_SNIa,1.0,None,None,None,SNF20080515-003,,,
SNF20080515-007,1,265.032156758124,53.3069202315299,0.0,0.0,0.0,False,north,265.0092,53.3046,-9999.0,search_selection,3.0,None,None,None,SNF20080515-007,,,
SNF20080515-007,2,265.004574164074,53.3046692604509,0.0,0.0,0.0,False,north,265.0092,53.3046,-9999.0,search_selection,3.0,None,None,None,SNF20080515-007,,,
SNF20080515-007,3,264.994506537884,53.3133950991414,0.0,0.0,0.0,False,north,265.0092,53.3046,-9999.0,search_selection,3.0,None,None,None,SNF20080515-007,,,
SNF20080515-007,9,265.00926,53.30456,0.0,0.0,0.0,False,north,265.0092,53.3046,-9999.0,search_selection,2.0,None,None,None,SNF20080515-007,,,
SNF20080515-008,1,212.782641782763,25.1607999993127,0.0,0.0,0.0,False,south,212.7826,25.1609,-9999.0,search_selection,3.0,None,None,None,SNF20080515-008,,,
SNF20080516-000,1,170.623758195391,56.4075458749832,0.0,0.0,0.0,False,north,170.6237,56.4073,-9999.0,historical_SNIa,1.0,None,None,None,SNF20080516-000,,,
SNF20080516-000,2,170.623291807985,56.40632929642,0.0,0.0,0.0,False,north,170.6237,56.4073,-9999.0,historical_SNIa,1.0,None,None,None,SNF20080516-000,,,
SNF20080516-014,1,184.42716927425,41.9975740799101,0.0,0.0,0.0,False,north,184.4221,42.001,-9999.0,search_selection,3.0,None,None,None,SNF20080516-014,,,
SNF20080516-014,2,184.422098054125,42.0011951313419,0.0,0.0,0.0,False,north,184.4221,42.001,-9999.0,search_selection,3.0,None,None,None,SNF20080516-014,,,
SNF20080516-022,1,224.862652331254,58.0017175820297,0.0,0.0,0.0,False,north,224.8665,58.0027,-9999.0,historical_SNIa,1.0,None,None,None,SNF20080516-022,,,
SNF20080517-000,1,269.761805601555,42.4167070797696,0.0,0.0,0.0,False,north,269.7643,42.4174,-9999.0,historical_SNIa,5.0,None,None,None,SNF20080517-000,,,
SNF20080517-010,1,189.100035361833,39.5123564430588,0.0,0.0,0.0,False,north,189.0994,39.5121,-9999.0,historical_SNIa,5.0,None,None,None,SNF20080517-010,,,
SNF20080517-013,1,189.397957835902,50.5872789261399,0.0,0.0,0.0,False,north,189.3997,50.5888,-9999.0,historical_SNIa,1.0,None,None,None,SNF20080517-013,,,
SNF20080517-017,1,184.720206681467,17.5766694780136,0.0,0.0,0.0,False,south,184.7193,17.5724,-9999.0,search_selection,3.0,None,None,None,SNF20080517-017,,,
SNF20080517-017,2,184.720992272039,17.5687367726839,0.0,0.0,0.0,False,south,184.7193,17.5724,-9999.0,search_selection,3.0,None,None,None,SNF20080517-017,,,
SNF20080517-017,3,184.723226487807,17.5805721790302,0.0,0.0,0.0,False,south,184.7193,17.5724,-9999.0,search_selection,3.0,None,None,None,SNF20080517-017,,,
SNF20080517-017,9,184.71942,17.57236,0.0,0.0,0.0,False,north,184.7193,17.5724,-9999.0,search_selection,2.0,None,None,None,SNF20080517-017,,,
SNF20080522-000,1,204.19834683819,5.14258860879144,0.0,0.0,0.0,False,south,204.1982,5.1417,-9999.0,historical_SNIa,1.0,None,None,None,SNF20080522-000,,,
SNF20080522-011,1,229.995355412776,4.90462243958519,0.0,0.0,0.0,False,south,229.9954,4.9047,-9999.0,historical_SNIa,1.0,None,None,None,SNF20080522-011,,,
SNF20080522-011,2,229.996537659255,4.90833694223842,0.0,0.0,0.0,False,south,229.9954,4.9047,-9999.0,historical_SNIa,1.0,None,None,None,SNF20080522-011,,,
SNF20080527-001,1,218.286567582867,34.8361090669641,0.0,0.0,0.0,False,north,218.2821,34.8413,-9999.0,search_selection,3.0,None,None,None,SNF20080527-001,,,
SNF20080527-001,2,218.285278568542,34.840293511529,0.0,0.0,0.0,False,north,218.2821,34.8413,-9999.0,search_selection,3.0,None,None,None,SNF20080527-001,0.6436189209531763,7.693806735622777e-05,0.00035866843006204796
SNF20080527-001,9,218.28205,34.84126,0.0,0.0,0.0,False,north,218.2821,34.8413,-9999.0,search_selection,2.0,None,None,None,SNF20080527-001,,,
SNF20080528-004,1,225.673892933655,34.8041493776854,0.0,0.0,0.0,False,north,225.6734,34.8041,-9999.0,search_selection,3.0,None,None,None,SNF20080528-004,,,
SNF20080529-001,1,271.950947523525,57.3766839931254,0.0,0.0,0.0,False,north,271.9554,57.3755,-9999.0,historical_SNIa,5.0,None,None,None,SNF20080529-001,,,
SNF20080529-001,2,271.951302103435,57.3748227734143,0.0,0.0,0.0,False,north,271.9554,57.3755,-9999.0,historical_SNIa,5.0,None,None,None,SNF20080529-001,,,
SNF20080529-002,1,272.480992338554,59.2810534599027,0.0,0.0,0.0,False,north,272.4805,59.2812,-9999.0,search_selection,3.0,None,None,None,SNF20080529-002,,,
SNF20080531-000,1,244.250251525523,19.1181251426438,0.0,0.0,0.0,False,south,244.2486,19.1171,-9999.0,historical_SNIa,1.0,None,None,None,SNF20080531-000,,,
SNF20080531-003,1,236.723,11.7833611111,0.0,0.0,0.0,False,south,236.7238,11.7858,-9999.0,historical_SNIa,1.0,None,None,None,SNF20080531-003,,,
SNF20080601-007,1,232.194671036619,21.2993752737581,0.0,0.0,0.0,False,south,232.1895,21.3007,-9999.0,search_selection,3.0,None,None,None,SNF20080601-007,,,
SNF20080601-007,2,232.188885485814,21.3049811470896,0.0,0.0,0.0,False,south,232.1895,21.3007,-9999.0,search_selection,3.0,None,None,None,SNF20080601-007,,,
SNF20080601-007,3,232.192569670298,21.2941924700288,0.0,0.0,0.0,False,south,232.1895,21.3007,-9999.0,search_selection,3.0,None,None,None,SNF20080601-007,,,
SNF20080601-007,9,232.18946,21.30074,0.0,0.0,0.0,False,north,232.1895,21.3007,-9999.0,search_selection,2.0,None,None,None,SNF20080601-007,,,
SNF20080601-024,1,240.489437382271,4.71703917963075,0.0,0.0,0.0,False,south,240.4902,4.718,-9999.0,search_selection,3.0,None,None,None,SNF20080601-024,,,
