snname,index,ra,dec,pmra,pmdec,ref_epoch,override,hemisphere,sn_ra,sn_dec,sn_z,program,priority,tns_name,iau_name,ptfiptf_name,spname,z,zerr,zdisp
15auc,1,177.598288403355,47.1541893339223,0.0,0.0,0.0,False,north,177.598221,47.154373,0.14,PTF-iPTF,1.0,None,None,iPTF15auc,iPTF15auc,,,
15aus,1,191.394822323292,4.74322791083375,0.0,0.0,0.0,False,south,191.395286,4.742568,0.074853,PTF-iPTF,1.0,None,None,iPTF15aus,iPTF15aus,,,
15awa,1,196.095374047389,54.8396994518434,0.0,0.0,0.0,False,north,196.094757,54.837903,0.10982,PTF-iPTF,1.0,None,None,iPTF15awa,iPTF15awa,,,
15awr,1,225.325413459955,16.7779492541513,0.0,0.0,0.0,False,south,225.329757,16.779986,0.05,PTF-iPTF,1.0,None,None,iPTF15awr,iPTF15awr,,,
15axu,1,222.62552709613,50.5294168113528,0.0,0.0,0.0,False,north,222.625109,50.529571,0.05,PTF-iPTF,1.0,None,None,iPTF15axu,iPTF15axu,,,
15axx,1,257.804453158469,44.0265385446118,0.0,0.0,0.0,False,north,257.804185,44.026736,0.19,PTF-iPTF,1.0,None,None,iPTF15axx,iPTF15axx,,,
15axx,2,257.807458621449,44.0271437283399,0.0,0.0,0.0,False,north,257.804185,44.026736,0.19,PTF-iPTF,1.0,None,None,iPTF15axx,iPTF15axx,,,
15axz,1,213.053041667,8.66183333333,0.0,0.0,0.0,False,south,213.055724,8.659905,0.02409,PTF-iPTF,1.0,None,None,iPTF15axz,iPTF15axz,,,
15aym,1,201.609333333,55.3958333333,0.0,0.0,0.0,False,north,201.611109,55.395376,0.03346,PTF-iPTF,1.0,None,None,iPTF15aym,iPTF15aym,,,
15ayn,1,220.864903015536,57.4324979983317,0.0,0.0,0.0,False,north,220.858644,57.428074,0.068,PTF-iPTF,1.0,None,None,iPTF15ayn,iPTF15ayn,,,
15ayn,2,220.856762725571,57.4321612552904,0.0,0.0,0.0,False,north,220.858644,57.428074,0.068,PTF-iPTF,1.0,None,None,iPTF15ayn,iPTF15ayn,,,
15ayo,1,225.650392831533,45.5019335870386,0.0,0.0,0.0,False,north,225.649497,45.501431,0.065,PTF-iPTF,1.0,None,None,iPTF15ayo,iPTF15ayo,,,
15ayt,1,224.116359597463,18.3738169777855,0.0,0.0,0.0,False,south,224.116055,18.373528,0.0465,PTF-iPTF,1.0,None,None,iPTF15ayt,iPTF15ayt,,,
15ayt,2,224.115860220231,18.3790401892329,0.0,0.0,0.0,False,south,224.116055,18.373528,0.0465,PTF-iPTF,1.0,None,None,iPTF15ayt,iPTF15ayt,,,
15bab,1,218.139677512485,59.4537390294711,0.0,0.0,0.0,False,north,218.139964,59.45316,0.109,PTF-iPTF,1.0,None,None,iPTF15bab,iPTF15bab,,,
15bai,1,245.511641961501,37.3168657664605,0.0,0.0,0.0,False,north,245.523084,37.322202,0.048,PTF-iPTF,1.0,None,None,iPTF15bai,iPTF15bai,,,
15ban,1,212.240125430019,53.2849732157712,0.0,0.0,0.0,False,north,212.237427,53.284946,0.044,PTF-iPTF,1.0,None,None,iPTF15ban,iPTF15ban,,,
15ban,2,212.242292236809,53.2809880137642,0.0,0.0,0.0,False,north,212.237427,53.284946,0.044,PTF-iPTF,1.0,None,None,iPTF15ban,iPTF15ban,,,
15bao,1,231.440017772314,59.8615696749531,0.0,0.0,0.0,False,north,231.440914,59.862049,0.18,PTF-iPTF,1.0,None,None,iPTF15bao,iPTF15bao,,,
15bav,1,200.901239312893,45.4596269044459,0.0,0.0,0.0,False,north,200.900113,45.46066,0.06068,PTF-iPTF,1.0,None,None,iPTF15bav,iPTF15bav,,,
15bcm,1,234.623145548715,27.2980987631594,0.0,0.0,0.0,False,south,234.62448,27.298946,0.03228,PTF-iPTF,1.0,None,None,iPTF15bcm,iPTF15bcm,,,
15bdd,1,180.433382696431,21.675073705118,0.0,0.0,0.0,False,south,180.433413,21.675269,0.17,PTF-iPTF,1.0,None,None,iPTF15bdd,iPTF15bdd,,,
15bdd,2,180.42720408417,21.6737408294888,0.0,0.0,0.0,False,south,180.433413,21.675269,0.17,PTF-iPTF,1.0,None,None,iPTF15bdd,iPTF15bdd,,,
15bdw,1,253.87597142733,38.5715299690155,0.0,0.0,0.0,False,north,253.875899,38.571355,0.14,PTF-iPTF,1.0,None,None,iPTF15bdw,iPTF15bdw,,,
15bfs,1,210.80225,54.3489444444,0.0,0.0,0.0,False,north,211.79076,55.20621,0.137,PTF-iPTF,1.0,None,None,iPTF15bfs,iPTF15bfs,,,
15bgs,1,3.99828019185271,29.8178078601492,0.0,0.0,0.0,False,south,3.996078,29.819902,0.094,PTF-iPTF,1.0,None,None,iPTF15bgs,iPTF15bgs,,,
15bgs,2,3.99319950831285,29.8269930877285,0.0,0.0,0.0,False,south,3.996078,29.819902,0.094,PTF-iPTF,1.0,None,None,iPTF15bgs,iPTF15bgs,,,
15bgx,1,356.206970773772,29.8440620884628,0.0,0.0,0.0,False,south,356.207371,29.843736,0.045,PTF-iPTF,1.0,None,None,iPTF15bgx,iPTF15bgx,,,
15bgy,1,231.650498761094,22.2864821941279,0.0,0.0,0.0,False,south,231.652506,22.284408,0.14,PTF-iPTF,1.0,None,None,iPTF15bgy,iPTF15bgy,,,
15bgy,2,231.647473846057,22.2789798548216,0.0,0.0,0.0,False,south,231.652506,22.284408,0.14,PTF-iPTF,1.0,None,None,iPTF15bgy,iPTF15bgy,,,
15big,1,258.932682875204,41.3772613343027,0.0,0.0,0.0,False,north,258.932796,41.377304,0.17,PTF-iPTF,1.0,None,None,iPTF15big,iPTF15big,,,
15bii,1,254.863899929445,42.200932535755,0.0,0.0,0.0,False,north,254.871717,42.195093,0.136,PTF-iPTF,1.0,None,None,iPTF15bii,iPTF15bii,,,
15biq,1,228.386869069592,19.4762814401303,0.0,0.0,0.0,False,south,228.386763,19.476413,0.079,PTF-iPTF,1.0,None,None,iPTF15biq,iPTF15biq,,,
15biw,1,248.267711368907,20.9469223593824,0.0,0.0,0.0,False,south,248.268547,20.947709,0.21,PTF-iPTF,1.0,None,None,iPTF15biw,iPTF15biw,,,
15bjb,1,249.176822361173,39.9499010559132,0.0,0.0,0.0,False,north,249.176765,39.949728,0.177,PTF-iPTF,1.0,None,None,iPTF15bjb,iPTF15bjb,,,
15bje,1,261.309592282128,56.3692684012729,0.0,0.0,0.0,False,north,261.309768,56.369393,0.15,PTF-iPTF,1.0,None,None,iPTF15bje,iPTF15bje,,,
15bjk,1,180.764060352792,32.9472584993801,0.0,0.0,0.0,False,north,180.763636,32.947752,0.06225,PTF-iPTF,1.0,None,None,iPTF15bjk,iPTF15bjk,,,
15bky,1,226.169083333,12.6334444444,0.0,0.0,0.0,False,south,226.170014,12.628725,0.02877,PTF-iPTF,1.0,None,None,iPTF15bky,iPTF15bky,,,
15blp,1,246.811647502972,41.1505178537937,0.0,0.0,0.0,False,north,246.813363,41.149474,0.195,PTF-iPTF,1.0,None,None,iPTF15blp,iPTF15blp,,,
15blp,2,246.800034667985,41.149865794504,0.0,0.0,0.0,False,north,246.813363,41.149474,0.195,PTF-iPTF,1.0,None,None,iPTF15blp,iPTF15blp,,,
15bqt,1,259.119612533469,19.5800371370265,0.0,0.0,0.0,False,south,259.121957,19.581147,0.179,PTF-iPTF,1.0,None,None,iPTF15bqt,iPTF15bqt,,,
15bsn,1,230.637896531114,30.0185434731534,0.0,0.0,0.0,False,north,230.633117,30.022302,0.06577,PTF-iPTF,1.0,None,None,iPTF15bsn,iPTF15bsn,,,
15bsn,2,230.638473898594,30.0134530399956,0.0,0.0,0.0,False,north,230.633117,30.022302,0.06577,PTF-iPTF,1.0,None,None,iPTF15bsn,iPTF15bsn,,,
15bsn,3,230.628770586967,30.0067947912104,0.0,0.0,0.0,False,north,230.633117,30.022302,0.06577,PTF-iPTF,1.0,None,None,iPTF15bsn,iPTF15bsn,,,
15btp,1,238.931361763101,34.0986626183873,0.0,0.0,0.0,False,north,238.93255,34.099463,0.047,PTF-iPTF,1.0,None,None,iPTF15btp,iPTF15btp,,,
15btp,2,238.930471406208,34.0992237676428,0.0,0.0,0.0,False,north,238.93255,34.099463,0.047,PTF-iPTF,1.0,None,None,iPTF15btp,iPTF15btp,,,
15bvw,1,249.079202723598,22.7538760000716,0.0,0.0,0.0,False,south,249.079317,22.754029,0.15,PTF-iPTF,1.0,None,None,iPTF15bvw,iPTF15bvw,,,
15bvw,2,249.082177663772,22.7606073423136,0.0,0.0,0.0,False,south,249.079317,22.754029,0.15,PTF-iPTF,1.0,None,None,iPTF15bvw,iPTF15bvw,,,
15bvx,1,241.124070838917,9.54509871933077,0.0,0.0,0.0,False,south,241.124162,9.545149,0.1475,PTF-iPTF,1.0,None,None,iPTF15bvx,iPTF15bvx,,,
15bwu,1,338.985774039046,23.978144151895,0.0,0.0,0.0,False,south,338.985184,23.978529,0.173,PTF-iPTF,1.0,None,None,iPTF15bwu,iPTF15bwu,,,
15bxa,1,329.758010901041,23.8408956224972,0.0,0.0,0.0,False,south,329.756945,23.841246,0.0994,PTF-iPTF,1.0,None,None,iPTF15bxa,iPTF15bxa,,,
15bxe,1,254.621241368608,26.5235380344193,0.0,0.0,0.0,False,south,254.62207,26.52193,0.036692,PTF-iPTF,1.0,None,None,iPTF15bxe,iPTF15bxe,,,
15bxi,1,226.259869397392,16.8293453908316,0.0,0.0,0.0,False,south,226.260076,16.82938,0.15,PTF-iPTF,1.0,None,None,iPTF15bxi,iPTF15bxi,,,
15bxi,2,226.253360186494,16.8214598854858,0.0,0.0,0.0,False,south,226.260076,16.82938,0.15,PTF-iPTF,1.0,None,None,iPTF15bxi,iPTF15bxi,,,
15bze,1,358.255099049657,4.84739283215672,0.0,0.0,0.0,False,south,358.253784,4.846404,0.032,PTF-iPTF,1.0,None,None,iPTF15bze,iPTF15bze,,,
15ccs,1,318.944986303988,16.904388771794,0.0,0.0,0.0,False,south,318.945275,16.905894,0.06,PTF-iPTF,1.0,None,None,iPTF15ccs,iPTF15ccs,,,
15cct,1,319.107817319816,15.4237556791115,0.0,0.0,0.0,False,south,319.10858,15.42478,0.08,PTF-iPTF,1.0,None,None,iPTF15cct,iPTF15cct,,,
15cde,1,349.658243414819,32.9854030806756,0.0,0.0,0.0,False,south,349.658705,32.985887,0.14,PTF-iPTF,1.0,None,None,iPTF15cde,iPTF15cde,,,
15cdf,1,326.34812124122,26.2942271988509,0.0,0.0,0.0,False,south,326.349555,26.2886,0.06,PTF-iPTF,1.0,None,None,iPTF15cdf,iPTF15cdf,,,
15cdf,2,326.345890064148,26.2915336969449,0.0,0.0,0.0,False,south,326.349555,26.2886,0.06,PTF-iPTF,1.0,None,None,iPTF15cdf,iPTF15cdf,,,
15cdv,1,355.98429291521,30.3673361519742,0.0,0.0,0.0,False,south,355.985102,30.369357,0.06,PTF-iPTF,1.0,None,None,iPTF15cdv,iPTF15cdv,,,
15cdy,1,351.283411628329,29.0061908385987,0.0,0.0,0.0,False,north,351.283195,29.006244,0.043,PTF-iPTF,1.0,None,None,iPTF15cdy,iPTF15cdy,,,
15cet,1,8.81066716052639,6.85434576603379,0.0,0.0,0.0,False,south,8.809589,6.855072,0.08,PTF-iPTF,1.0,None,None,iPTF15cet,iPTF15cet,,,
15cfw,1,321.960656712516,20.8258256346822,0.0,0.0,0.0,False,south,321.959148,20.827228,0.08,PTF-iPTF,1.0,None,None,iPTF15cfw,iPTF15cfw,,,
15cfw,2,321.957789270544,20.8284011153618,0.0,0.0,0.0,False,south,321.959148,20.827228,0.08,PTF-iPTF,1.0,None,None,iPTF15cfw,iPTF15cfw,,,
15cjh,1,340.981803832589,28.1581792175038,0.0,0.0,0.0,False,south,340.981677,28.158256,0.09,PTF-iPTF,1.0,None,None,iPTF15cjh,iPTF15cjh,,,
15cji,1,341.940201712832,27.3380763445854,0.0,0.0,0.0,False,south,341.939834,27.337773,0.0836,PTF-iPTF,1.0,None,None,iPTF15cji,iPTF15cji,,,
15cjr,1,5.3155488291456,9.68000253400365,0.0,0.0,0.0,False,south,5.31616,9.680366,0.14,PTF-iPTF,1.0,None,None,iPTF15cjr,iPTF15cjr,,,
15cjr,2,5.30331967696668,9.67409272546296,0.0,0.0,0.0,False,south,5.31616,9.680366,0.14,PTF-iPTF,1.0,None,None,iPTF15cjr,iPTF15cjr,,,
15cky,1,349.630139655343,32.9014525098298,0.0,0.0,0.0,False,south,349.630178,32.901382,0.19,PTF-iPTF,1.0,None,None,iPTF15cky,iPTF15cky,,,
15clp,1,339.792235775441,34.3078151414524,0.0,0.0,0.0,False,south,339.795315,34.307135,0.0206,PTF-iPTF,1.0,None,None,iPTF15clp,iPTF15clp,,,
15cna,1,350.036314476836,28.8450564394731,0.0,0.0,0.0,False,north,350.04563,28.849467,0.06,PTF-iPTF,1.0,None,None,iPTF15cna,iPTF15cna,,,
15cno,1,332.069512684169,24.4917518255627,0.0,0.0,0.0,False,south,332.069463,24.491674,0.075,PTF-iPTF,1.0,None,None,iPTF15cno,iPTF15cno,,,
15cnq,1,331.970758538088,29.37372080666,0.0,0.0,0.0,False,south,331.971112,29.37382,0.0837,PTF-iPTF,1.0,None,None,iPTF15cnq,iPTF15cnq,,,
15cpc,1,354.573699212263,32.124009088423,0.0,0.0,0.0,False,south,354.573368,32.123892,0.1702,PTF-iPTF,1.0,None,None,iPTF15cpc,iPTF15cpc,,,
15cpc,2,354.55770680776,32.1301735400032,0.0,0.0,0.0,False,south,354.573368,32.123892,0.1702,PTF-iPTF,1.0,None,None,iPTF15cpc,iPTF15cpc,,,
15cpg,1,9.42399537407927,1.76349960729261,0.0,0.0,0.0,False,south,9.424735,1.762823,0.08024,PTF-iPTF,1.0,None,None,iPTF15cpg,iPTF15cpg,,,
15cpp,1,5.11475787272842,-1.07380301073891,0.0,0.0,0.0,False,north,5.117615,-1.061313,0.06,PTF-iPTF,1.0,None,None,iPTF15cpp,iPTF15cpp,,,
15cpp,2,5.11097752724047,-1.06094239932217,0.0,0.0,0.0,False,north,5.117615,-1.061313,0.06,PTF-iPTF,1.0,None,None,iPTF15cpp,iPTF15cpp,,,
15cpp,3,5.1184183272555,-1.0739506971916,0.0,0.0,0.0,False,north,5.117615,-1.061313,0.06,PTF-iPTF,1.0,None,None,iPTF15cpp,iPTF15cpp,,,
15cpq,1,3.42956157357918,0.161652748137932,0.0,0.0,0.0,False,north,3.429814,0.161992,0.066,PTF-iPTF,1.0,None,None,iPTF15cpq,iPTF15cpq,,,
15cpr,1,2.03326801444253,-1.76988344274095,0.0,0.0,0.0,False,south,2.03346,-1.770206,0.15,PTF-iPTF,1.0,None,None,iPTF15cpr,iPTF15cpr,,,
15cpy,1,0.218725518576928,-2.07050778312554,0.0,0.0,0.0,False,south,0.218919,-2.070247,0.17,PTF-iPTF,1.0,None,None,iPTF15cpy,iPTF15cpy,,,
15cqq,1,0.717822921160606,-1.54783231080983,0.0,0.0,0.0,False,north,0.712455,-1.55913,0.16,PTF-iPTF,1.0,None,None,iPTF15cqq,iPTF15cqq,,,
15cqq,2,0.718076410398884,-1.54851983823194,0.0,0.0,0.0,False,north,0.712455,-1.55913,0.16,PTF-iPTF,1.0,None,None,iPTF15cqq,iPTF15cqq,,,
15crj,1,336.118481543412,32.6589742602882,0.0,0.0,0.0,False,south,336.118576,32.659014,0.0216,PTF-iPTF,1.0,None,None,iPTF15crj,iPTF15crj,,,
15crj,2,336.115720445294,32.6605064763533,0.0,0.0,0.0,False,south,336.118576,32.659014,0.0216,PTF-iPTF,1.0,None,None,iPTF15crj,iPTF15crj,,,
15cvw,1,317.167814816204,15.2302786734723,0.0,0.0,0.0,False,south,317.167602,15.230331,0.096,PTF-iPTF,1.0,None,None,iPTF15cvw,iPTF15cvw,,,
15cym,1,118.149363240451,16.7668233513552,0.0,0.0,0.0,False,south,118.148623,16.766542,0.057,PTF-iPTF,1.0,None,None,iPTF15cym,iPTF15cym,,,
15cyo,1,124.985958333,13.87825,0.0,0.0,0.0,False,south,124.984069,13.878337,0.02963,PTF-iPTF,1.0,None,None,iPTF15cyo,iPTF15cyo,,,
15cyq,1,122.503820814551,18.7043699675952,0.0,0.0,0.0,False,south,122.503586,18.705039,0.06316,PTF-iPTF,1.0,None,None,iPTF15cyq,iPTF15cyq,,,
15cys,1,122.981309653598,16.7204599422767,0.0,0.0,0.0,False,south,122.981632,16.719465,0.05,PTF-iPTF,1.0,None,None,iPTF15cys,iPTF15cys,,,
15daa,1,341.845350754271,25.2675834152978,0.0,0.0,0.0,False,south,341.846801,25.266333,0.17,PTF-iPTF,1.0,None,None,iPTF15daa,iPTF15daa,,,
15dab,1,340.715307759601,29.3515939568321,0.0,0.0,0.0,False,south,340.720448,29.358617,0.15,PTF-iPTF,1.0,None,None,iPTF15dab,iPTF15dab,,,
15dab,2,340.73192812843,29.3568999609703,0.0,0.0,0.0,False,south,340.720448,29.358617,0.15,PTF-iPTF,1.0,None,None,iPTF15dab,iPTF15dab,,,
15dac,1,341.49744864711,28.4564099655471,0.0,0.0,0.0,False,south,341.496115,28.45688,0.13,PTF-iPTF,1.0,None,None,iPTF15dac,iPTF15dac,,,
15dac,2,341.495331319656,28.4523362817426,0.0,0.0,0.0,False,south,341.496115,28.45688,0.13,PTF-iPTF,1.0,None,None,iPTF15dac,iPTF15dac,,,
15dda,1,359.966073967612,32.7673174922162,0.0,0.0,0.0,False,south,359.966747,32.767696,0.0345,PTF-iPTF,1.0,None,None,iPTF15dda,iPTF15dda,,,
15dgq,1,9.82766666667,3.95288888889,0.0,0.0,0.0,False,south,9.824788,3.950113,0.0176,PTF-iPTF,1.0,None,None,iPTF15dgq,iPTF15dgq,,,
15dh,1,242.62761572878,23.9565129720744,0.0,0.0,0.0,False,south,242.62739,23.956988,0.03142,PTF-iPTF,1.0,None,None,iPTF15dh,iPTF15dh,,,
15dht,1,358.92193963201,33.9117087230415,0.0,0.0,0.0,False,south,358.920553,33.91108,0.0842,PTF-iPTF,1.0,None,None,iPTF15dht,iPTF15dht,,,
15dht,2,358.924908191579,33.9126706942997,0.0,0.0,0.0,False,south,358.920553,33.91108,0.0842,PTF-iPTF,1.0,None,None,iPTF15dht,iPTF15dht,,,
15dhx,1,337.093322366441,28.6495999812287,0.0,0.0,0.0,False,south,337.093236,28.64939,0.0923,PTF-iPTF,1.0,None,None,iPTF15dhx,iPTF15dhx,,,
15dik,1,0.128889934637382,4.50555812676923,0.0,0.0,0.0,False,south,0.128506,4.505281,0.137,PTF-iPTF,1.0,None,None,iPTF15dik,iPTF15dik,,,
15dkm,1,354.323317577611,-3.53291772623496,0.0,0.0,0.0,False,south,354.323752,-3.532538,0.025,PTF-iPTF,1.0,None,None,iPTF15dkm,iPTF15dkm,,,
15dko,1,3.41932061572603,8.90438708700118,0.0,0.0,0.0,False,south,3.419032,8.904728,0.12,PTF-iPTF,1.0,None,None,iPTF15dko,iPTF15dko,,,
15dld,1,14.5539722616146,-3.66284504850401,0.0,0.0,0.0,False,south,14.555319,-3.663973,0.047,PTF-iPTF,1.0,None,None,iPTF15dld,iPTF15dld,,,
15dlk,1,17.4404166667,13.3088888889,0.0,0.0,0.0,False,south,17.44493,13.30794,0.014074,PTF-iPTF,1.0,None,None,iPTF15dlk,iPTF15dlk,,,
15dmk,1,21.2263882728551,0.618744141028867,0.0,0.0,0.0,False,south,21.226532,0.618738,0.065,PTF-iPTF,1.0,None,None,iPTF15dmk,iPTF15dmk,,,
15doh,1,340.108753611103,25.6917880265601,0.0,0.0,0.0,False,south,340.108297,25.69176,0.059,PTF-iPTF,1.0,None,None,iPTF15doh,iPTF15doh,,,
15doo,1,326.83068721594,26.795860783082,0.0,0.0,0.0,False,south,326.832116,26.796296,0.09,PTF-iPTF,1.0,None,None,iPTF15doo,iPTF15doo,,,
15dou,1,347.015443937725,31.1172118973287,0.0,0.0,0.0,False,south,347.01499,31.116771,0.1664,PTF-iPTF,1.0,None,None,iPTF15dou,iPTF15dou,,,
15dou,2,347.005447027566,31.1162707526202,0.0,0.0,0.0,False,south,347.01499,31.116771,0.1664,PTF-iPTF,1.0,None,None,iPTF15dou,iPTF15dou,,,
15doz,1,0.71111062338111,10.4007747887133,0.0,0.0,0.0,False,south,0.711125,10.400813,0.11,PTF-iPTF,1.0,None,None,iPTF15doz,iPTF15doz,,,
15doz,2,0.711739476352888,10.4137925426093,0.0,0.0,0.0,False,south,0.711125,10.400813,0.11,PTF-iPTF,1.0,None,None,iPTF15doz,iPTF15doz,,,
15dpa,1,2.89779799995517,3.50187682033329,0.0,0.0,0.0,False,south,2.898006,3.502032,0.057,PTF-iPTF,1.0,None,None,iPTF15dpa,iPTF15dpa,,,
15dqb,1,101.502224023331,51.715245537421,0.0,0.0,0.0,False,north,101.498945,51.714243,0.043,PTF-iPTF,1.0,None,None,iPTF15dqb,iPTF15dqb,,,
15dqb,2,101.498373696863,51.7206415243259,0.0,0.0,0.0,False,north,101.498945,51.714243,0.043,PTF-iPTF,1.0,None,None,iPTF15dqb,iPTF15dqb,,,
15dqf,1,12.4519588835803,-6.48048194605614,0.0,0.0,0.0,False,south,12.452524,-6.482572,0.07,PTF-iPTF,1.0,None,None,iPTF15dqf,iPTF15dqf,,,
15dqg,1,2.33981991520819,-0.0703991688251926,0.0,0.0,0.0,False,north,2.340342,-0.0685,0.058,PTF-iPTF,1.0,None,None,iPTF15dqg,iPTF15dqg,,,
15dqi,1,1.96173892384643,32.9949807691882,0.0,0.0,0.0,False,south,1.961423,32.994981,0.06,PTF-iPTF,1.0,None,None,iPTF15dqi,iPTF15dqi,,,
15dqp,1,13.735790402452,10.79907598526,0.0,0.0,0.0,False,south,13.736718,10.800859,0.089,PTF-iPTF,1.0,None,None,iPTF15dqp,iPTF15dqp,,,
15dqp,2,13.7381692810263,10.7966536134731,0.0,0.0,0.0,False,south,13.736718,10.800859,0.089,PTF-iPTF,1.0,None,None,iPTF15dqp,iPTF15dqp,,,
15dqr,1,0.253996988129443,8.65036924954669,0.0,0.0,0.0,False,south,0.253943,8.650421,0.13,PTF-iPTF,1.0,None,None,iPTF15dqr,iPTF15dqr,,,
15dqv,1,0.28174440840696,3.66570606288561,0.0,0.0,0.0,False,south,0.281586,3.665394,0.08,PTF-iPTF,1.0,None,None,iPTF15dqv,iPTF15dqv,,,
15drk,1,13.3850870454505,11.515854249345,0.0,0.0,0.0,False,south,13.38419,11.515086,0.038,PTF-iPTF,1.0,None,None,iPTF15drk,iPTF15drk,,,
15drk,2,13.3832689743012,11.5110815416281,0.0,0.0,0.0,False,south,13.38419,11.515086,0.038,PTF-iPTF,1.0,None,None,iPTF15drk,iPTF15drk,,,
15dsf,1,325.374638743043,19.4825436818126,0.0,0.0,0.0,False,south,325.374811,19.483144,0.073,PTF-iPTF,1.0,None,None,iPTF15dsf,iPTF15dsf,,,
15dsr,1,356.956278882276,32.9203042646423,0.0,0.0,0.0,False,south,356.95609,32.9204,0.088,PTF-iPTF,1.0,SN2015bs,None,None,SN2015bs,,,
15dtq,1,146.490385401413,9.97563267086146,0.0,0.0,0.0,False,south,146.490528,9.975447,0.019,PTF-iPTF,1.0,None,None,iPTF15dtq,iPTF15dtq,,,
15dul,1,7.61074033307496,-6.54660922719896,0.0,0.0,0.0,False,south,7.616239,-6.547082,0.063,PTF-iPTF,1.0,None,None,iPTF15dul,iPTF15dul,,,
15dul,2,7.61678718718285,-6.55061645528848,0.0,0.0,0.0,False,south,7.616239,-6.547082,0.063,PTF-iPTF,1.0,None,None,iPTF15dul,iPTF15dul,,,
15dum,1,6.27242770210347,-4.16796651476545,0.0,0.0,0.0,False,south,6.271815,-4.16898,0.067,PTF-iPTF,1.0,None,None,iPTF15dum,iPTF15dum,,,
15duu,1,16.2746407199922,8.32399352199101,0.0,0.0,0.0,False,south,16.274757,8.323975,0.14,PTF-iPTF,1.0,None,None,iPTF15duu,iPTF15duu,,,
15dvc,1,102.960135942277,32.9021311888569,0.0,0.0,0.0,False,north,102.958928,32.902648,0.082,PTF-iPTF,1.0,None,None,iPTF15dvc,iPTF15dvc,,,
15dvc,2,102.956620389813,32.8975497858729,0.0,0.0,0.0,False,north,102.958928,32.902648,0.082,PTF-iPTF,1.0,None,None,iPTF15dvc,iPTF15dvc,,,
15dvg,1,10.645144360693,-4.65100694655088,0.0,0.0,0.0,False,south,10.639343,-4.658364,0.047,PTF-iPTF,1.0,None,None,iPTF15dvg,iPTF15dvg,,,
15ee,1,185.053368788165,4.61267697842229,0.0,0.0,0.0,False,south,185.053461,4.612741,0.0795,PTF-iPTF,1.0,None,None,iPTF15ee,iPTF15ee,,,
15emb,1,351.489400842494,32.9606537179581,0.0,0.0,0.0,False,south,351.488907,32.962565,0.09983,PTF-iPTF,1.0,None,None,iPTF15emb,iPTF15emb,,,
15eoa,1,17.6001941340017,23.3567419015322,0.0,0.0,0.0,False,south,17.600491,23.357475,0.046,PTF-iPTF,1.0,None,None,iPTF15eoa,iPTF15eoa,,,
15eod,1,137.532916667,50.0583611111,0.0,0.0,0.0,False,north,137.536514,50.060947,0.036,PTF-iPTF,1.0,None,None,iPTF15eod,iPTF15eod,,,
15eof,1,118.871305289722,52.1581025751787,0.0,0.0,0.0,False,north,118.869674,52.157961,0.022,PTF-iPTF,1.0,None,None,iPTF15eof,iPTF15eof,,,
15eof,2,118.865302662347,52.1535035735361,0.0,0.0,0.0,False,north,118.869674,52.157961,0.022,PTF-iPTF,1.0,None,None,iPTF15eof,iPTF15eof,,,
15eoh,1,133.068248322348,54.6325227605524,0.0,0.0,0.0,False,north,133.067919,54.632691,0.12,PTF-iPTF,1.0,None,None,iPTF15eoh,iPTF15eoh,,,
15eoj,1,27.0371027563979,13.0599895439444,0.0,0.0,0.0,False,south,27.037101,13.06005,0.074,PTF-iPTF,1.0,None,None,iPTF15eoj,iPTF15eoj,,,
15eot,1,120.384146523729,64.4580192032881,0.0,0.0,0.0,False,north,120.383541,64.456529,0.039,PTF-iPTF,1.0,None,None,iPTF15eot,iPTF15eot,,,
15epz,1,179.894513481,45.8382142221964,0.0,0.0,0.0,False,north,179.895629,45.838106,0.131,PTF-iPTF,1.0,None,None,iPTF15epz,iPTF15epz,,,
15eqa,1,202.370693534271,33.6643700712426,0.0,0.0,0.0,False,north,202.371737,33.664296,0.03588,PTF-iPTF,1.0,None,None,iPTF15eqa,iPTF15eqa,,,
15eqc,1,193.877107294355,52.060435503987,0.0,0.0,0.0,False,north,193.879292,52.059944,0.03769,PTF-iPTF,1.0,None,None,iPTF15eqc,iPTF15eqc,,,
15eql,1,168.506519287165,45.1392783588066,0.0,0.0,0.0,False,north,168.506669,45.139234,0.15,PTF-iPTF,1.0,None,None,iPTF15eql,iPTF15eql,,,
15eql,2,168.505896390695,45.1386513945408,0.0,0.0,0.0,False,north,168.506669,45.139234,0.15,PTF-iPTF,1.0,None,None,iPTF15eql,iPTF15eql,,,
15eqv,1,163.0392,32.94181,0.0,0.0,0.0,False,north,163.034642,32.944363,0.0046,PTF-iPTF,1.0,None,None,iPTF15eqv,iPTF15eqv,,,
15eqv,2,163.0475,32.9504444444,0.0,0.0,0.0,False,north,163.034642,32.944363,0.0046,PTF-iPTF,1.0,None,None,iPTF15eqv,iPTF15eqv,,,
15eqv,3,163.0476,32.95123,0.0,0.0,0.0,False,north,163.034642,32.944363,0.0046,PTF-iPTF,1.0,None,None,iPTF15eqv,iPTF15eqv,,,
15eqy,1,132.612166667,60.0825277778,0.0,0.0,0.0,False,north,132.616605,60.082921,0.01382,PTF-iPTF,1.0,None,None,iPTF15eqy,iPTF15eqy,,,
15erb,1,153.792831411545,25.595682822888,0.0,0.0,0.0,False,south,153.79342,25.595718,0.114,PTF-iPTF,1.0,None,None,iPTF15erb,iPTF15erb,,,
