snname,index,targetid,tileid,petal,night,ra,dec,pmra,pmdec,ref_epoch,override,hemisphere,sn_ra,sn_dec,sn_z,program,priority,tns_name,iau_name,ptfiptf_name,spname,z,zerr,zwarn,chi2,deltachi2,spectype,subtype
10nhu,1,39628481654424852,20254,4,20210523,243.725724157465,29.9706400740871,0.0,0.0,0.0,False,north,243.725604,29.970584,0.153,PTF-iPTF,1.0,None,None,PTF10nhu,PTF10nhu,0.152441141652795,5.46337868800644e-06,0.0,7526.00459516048,3983.06871330738,GALAXY,
10nnh,1,39633091400043842,20766,6,20210522,232.305463675174,40.6505878712069,0.0,0.0,0.0,False,north,232.305246,40.650674,0.15,PTF-iPTF,1.0,None,None,PTF10nnh,PTF10nnh,0.151298463883218,1.18574285431203e-05,0.0,8967.6985924542,2267.51222881675,GALAXY,
10oip,1,39628302289211871,20419,4,20210708,247.419461020834,21.6642269088281,0.0,0.0,0.0,False,south,247.420459,21.664806,0.1473,PTF-iPTF,1.0,None,None,PTF10oip,PTF10oip,0.148186778489587,1.44859410630615e-05,0.0,8020.80535241961,925.604033142328,GALAXY,
10oix,2,39633114061865714,20773,5,20210522,227.328192796595,42.087284689614,0.0,0.0,0.0,False,north,227.32028,42.088969,0.2,PTF-iPTF,1.0,None,None,PTF10oix,PTF10oix,0.2392509539616,5.73161902324936e-06,0.0,7451.69687843323,2787.49687385559,GALAXY,
10oug,2,39628460842287966,20913,1,20210618,260.199945154605,29.0780525973493,0.0,0.0,0.0,False,south,260.186607,29.073777,0.15,PTF-iPTF,1.0,None,None,PTF10oug,PTF10oug,0.220935369273057,4.24991426425124e-05,0.0,9179.96936770901,1211.43147397228,GALAXY,
10pcd,1,39627981668221460,20401,6,20210626,248.082727060834,8.03294463781609,0.0,0.0,0.0,False,south,248.082662,8.032251,0.1251,PTF-iPTF,1.0,None,None,PTF10pcd,PTF10pcd,0.125432505097416,1.14262301493439e-05,0.0,8460.18405453861,2262.86436749995,GALAXY,
10pdh,1,39633158466963830,20760,3,20210705,252.880982040905,44.3918631662669,0.0,0.0,0.0,False,north,252.881001,44.391696,0.134,PTF-iPTF,1.0,None,None,PTF10pdh,PTF10pdh,0.134900118414824,4.89394332233598e-05,0.0,7827.63710903283,429.796675558202,GALAXY,
10pko,1,39633209079629087,20895,0,20210628,265.672456816047,47.3859067934221,0.0,0.0,0.0,False,north,265.674366,47.384203,0.146,PTF-iPTF,1.0,None,None,PTF10pko,PTF10pko,0.158124809276978,6.33779619828549e-05,0.0,8084.69708288554,824.776422022842,GALAXY,
10pzp,1,39633441133694892,20030,8,20210629,259.217182068096,64.6726274335033,0.0,0.0,0.0,False,north,259.21627,64.671998,0.0813,PTF-iPTF,1.0,None,None,PTF10pzp,PTF10pzp,0.0810138098226575,1.17515334202741e-05,0.0,7683.09842406213,142.604486182332,GALAXY,
10qjl,1,39628076933448708,20390,2,20210626,249.996856744231,12.1074123169616,0.0,0.0,0.0,False,south,249.997195,12.107072,0.0578,PTF-iPTF,1.0,None,None,PTF10qjl,PTF10qjl,0.0573150459598084,9.80145470526463e-07,0.0,11363.3406267166,40773.7341089249,GALAXY,
10qoj,1,39628234362457580,20387,3,20210618,257.088660606852,18.8477788058304,0.0,0.0,0.0,False,south,257.087466,18.847741,0.11,PTF-iPTF,1.0,None,None,PTF10qoj,PTF10qoj,0.119095192812543,7.05724878005263e-05,0.0,7992.15574919526,616.665497255512,GALAXY,
10rka,1,39628412398079207,20236,5,20210618,237.762122392537,26.6369303577532,0.0,0.0,0.0,False,south,237.762022,26.636881,0.07,PTF-iPTF,1.0,None,None,PTF10rka,PTF10rka,0.0689472818301458,9.27342217245504e-06,0.0,16756.5072280318,22475.6700340323,GALAXY,
10rks,1,39627693360158891,20836,9,20210523,312.618526805002,-4.05287706004807,0.0,0.0,0.0,False,south,312.618363,-4.05204,0.058,PTF-iPTF,1.0,None,None,PTF10rks,PTF10rks,0.0580881752778428,1.96558292956188e-05,0.0,10953.5789465308,3537.93868210912,GALAXY,
10sm,1,39628105626682272,21087,0,20210609,201.088857567566,13.2625400788407,0.0,0.0,0.0,False,south,201.088803,13.262636,0.094,PTF-iPTF,1.0,None,None,PTF10sm,PTF10sm,0.0946982167778234,2.10082708827185e-05,0.0,10201.2083093673,4124.35008164309,GALAXY,
10tel,1,39633221196975566,20901,0,20210705,260.378887409042,48.1296723425728,0.0,0.0,0.0,False,north,260.377817,48.129834,0.035,PTF-iPTF,1.0,None,None,PTF10tel,PTF10tel,0.0347687158830359,2.21855053097536e-05,0.0,7445.52522122813,38.1168200974353,GALAXY,
10tyd,1,39628434200068629,20919,1,20210620,257.328363734465,27.8172293678869,0.0,0.0,0.0,False,south,257.330891,27.819065,0.063,PTF-iPTF,1.0,None,None,PTF10tyd,PTF10tyd,0.0633023169399378,3.13361187271774e-06,0.0,8617.04784613848,4173.07077854872,GALAXY,
10ucv,1,39633154167803691,20760,7,20210705,255.13690150468,44.1315430074365,0.0,0.0,0.0,False,north,255.137694,44.132275,0.22,PTF-iPTF,1.0,None,None,PTF10ucv,PTF10ucv,0.227390340889414,4.29595508602243e-05,0.0,7772.2555844374,251.400071932003,GALAXY,
10vye,1,39633087193156914,20931,6,20210626,262.519344622047,40.5804389289427,0.0,0.0,0.0,False,north,262.518635,40.58092,0.046,PTF-iPTF,1.0,None,None,PTF10vye,PTF10vye,0.0395862914127951,6.1429514592741e-06,0.0,9014.11997956783,3774.88240619109,GALAXY,
10whg,1,39632986563412626,20765,9,20210519,235.96801220531,35.1585603698167,0.0,0.0,0.0,False,north,235.966505,35.157692,0.071,PTF-iPTF,1.0,None,None,PTF10whg,PTF10whg,0.0714719624320282,2.44522629023223e-05,0.0,8923.10251426511,2275.97162275459,GALAXY,
10xgo,1,39627820443379165,20825,2,20210618,328.989263570129,1.32074436562935,0.0,0.0,0.0,False,north,328.989081,1.320585,0.034,PTF-iPTF,1.0,None,None,PTF10xgo,PTF10xgo,0.0342641471707078,2.10462772530843e-06,0.0,7973.1669524014,6465.86234876513,GALAXY,
10yhj,1,39627880715522137,20821,5,20210611,322.855879855356,3.66210684279558,0.0,0.0,0.0,False,south,322.855487,3.662179,0.14,PTF-iPTF,1.0,None,None,PTF10yhj,PTF10yhj,0.133206410169441,7.68916026699542e-05,0.0,7463.43578570476,103.550577722955,GALAXY,
11ael,1,39633224569195336,21190,5,20210522,202.062934164451,48.453118754961,0.0,0.0,0.0,False,north,202.064316,48.452402,0.0762,PTF-iPTF,1.0,None,None,PTF11ael,PTF11ael,0.0758865623630771,3.70928074870059e-06,0.0,8284.58958685398,3435.74856746197,GALAXY,
11aib,1,39633481138964427,20004,2,20210519,176.348070400473,68.9517529681835,0.0,0.0,0.0,False,north,176.351581,68.953462,0.0819,PTF-iPTF,1.0,None,None,PTF11aib,PTF11aib,0.0819733418588494,4.27496324050101e-06,0.0,8766.4472168088,4161.17810410261,GALAXY,
11bof,1,39628279606412204,20222,0,20210601,238.270450253669,20.6357107210139,0.0,0.0,0.0,False,south,238.26971,20.635976,0.026,PTF-iPTF,1.0,None,None,PTF11bof,PTF11bof,0.0264623435326026,3.2892070416566e-06,0.0,9994.6207723394,9363.23010899872,GALAXY,
11cda,1,39628523358390635,20918,8,20210521,259.233468137163,31.9240802574504,0.0,0.0,0.0,False,north,259.234241,31.924422,0.042,PTF-iPTF,1.0,None,None,PTF11cda,PTF11cda,0.0414736724373118,2.78564317740094e-06,0.0,10214.6528223157,10919.5143712454,GALAXY,
11cgx,1,39632961351451008,21196,2,20210514,213.441410896758,34.0378263622877,0.0,0.0,0.0,False,north,213.441665,34.036924,0.033,PTF-iPTF,1.0,None,None,PTF11cgx,PTF11cgx,0.0336091879414091,6.18954042118125e-06,0.0,9015.14546217397,3352.27999572817,GALAXY,
11ctn,1,39633081933496709,21157,8,20210620,211.722585474809,40.2202758055167,0.0,0.0,0.0,False,north,211.722367,40.220537,0.079,PTF-iPTF,1.0,None,None,PTF11ctn,PTF11ctn,0.0791027666215183,5.03305575322692e-06,0.0,7903.35936796665,1087.51659238338,GALAXY,
11cwi,1,39628302381483134,20394,4,20210627,253.118652789174,21.6992578987283,0.0,0.0,0.0,False,south,253.118813,21.700276,0.056,PTF-iPTF,1.0,None,None,PTF11cwi,PTF11cwi,0.0563939767451073,3.35971860916581e-06,0.0,21688.6867402792,27566.9754205942,GALAXY,
11ddx,1,39633438000546518,20641,5,20210519,185.283532142498,64.4473975831822,0.0,0.0,0.0,False,north,185.28584,64.447891,0.13,PTF-iPTF,1.0,None,None,PTF11ddx,PTF11ddx,0.135044173756278,3.39446983229482e-06,0.0,10583.2395555973,8761.42831659317,GALAXY,
11dif,1,39632996118038929,21196,5,20210514,213.966855628574,35.7398809813253,0.0,0.0,0.0,False,north,213.966976,35.739987,0.059,PTF-iPTF,1.0,None,None,PTF11dif,PTF11dif,0.0586912972769868,5.29076093507256e-06,0.0,7101.33691307902,1332.35379913636,GALAXY,
11ecn,1,39633040225340912,20924,5,20210709,253.954233243291,37.9898788330314,0.0,0.0,0.0,False,north,253.948276,37.992421,0.062,PTF-iPTF,1.0,None,None,PTF11ecn,PTF11ecn,0.0626476974336189,2.55552502026968e-05,0.0,15498.9744202467,5860.75068579684,GALAXY,
11eie,1,39628279451226084,20193,0,20210617,228.550601466258,20.7761403595922,0.0,0.0,0.0,False,south,228.55047,20.775675,0.0395,PTF-iPTF,1.0,None,None,PTF11eie,PTF11eie,0.0397560779486902,1.7202396973645e-05,0.0,8114.39738207869,126.41073150374,GALAXY,
11emc,1,39632946461672976,20257,9,20210514,229.682047763487,33.1323129111984,0.0,0.0,0.0,False,north,229.682155,33.13225,0.082,PTF-iPTF,1.0,None,None,PTF11emc,PTF11emc,0.081586140098542,1.63293463972002e-05,0.0,7921.9225567095,294.880564398365,GALAXY,
11fjw,1,39632991160369791,21162,6,20210514,211.275744437051,35.4393306078012,0.0,0.0,0.0,False,north,211.276076,35.438632,0.193,PTF-iPTF,1.0,None,None,PTF11fjw,PTF11fjw,0.193156887603807,1.6381617485929e-05,0.0,7860.58314603567,1029.89248436689,GALAXY,
11foq,2,39628412632962310,20410,2,20210627,253.488549059314,26.7750087849378,0.0,0.0,0.0,False,south,253.485199,26.778705,0.22,PTF-iPTF,1.0,None,None,PTF11foq,PTF11foq,0.264564799295598,1.91107389440556e-05,0.0,8476.75947600603,1686.01403641701,GALAXY,
11gdm,1,39633105358687560,20763,5,20210704,254.099145141392,41.5037980797093,0.0,0.0,0.0,False,north,254.098736,41.504207,0.143,PTF-iPTF,1.0,None,None,PTF11gdm,PTF11gdm,0.142097596097933,1.20636256218755e-05,0.0,7534.05184236169,905.054858118296,GALAXY,
11ghq,1,39628401870378377,20397,5,20210626,257.855270277889,26.12618013251,0.0,0.0,0.0,False,south,257.856608,26.126766,0.169,PTF-iPTF,1.0,None,None,PTF11ghq,PTF11ghq,0.164783514466732,2.95776241960787e-05,0.0,9581.15970588848,3446.10174998641,GALAXY,
11ijp,1,39627760011839158,20824,3,20210617,326.79635723193,-1.21738003842681,0.0,0.0,0.0,False,north,326.796412,-1.21757,0.131,PTF-iPTF,1.0,None,None,PTF11ijp,PTF11ijp,0.130963803041687,2.90427732656819e-06,0.0,8123.27177238464,3859.55926132202,GALAXY,
11ixk,1,39628507059323241,21181,0,20210514,200.439375,31.23725,0.0,0.0,0.0,False,north,200.437635,31.234621,0.021,PTF-iPTF,1.0,None,None,PTF11ixk,PTF11ixk,0.02419056593084,3.16579085287665e-06,0.0,17269.7611036226,15391.123341091,GALAXY,
