snname,index,targetid,tileid,petal,night,ra,dec,pmra,pmdec,ref_epoch,override,hemisphere,sn_ra,sn_dec,sn_z,program,priority,tns_name,iau_name,ptfiptf_name,spname,z,zerr,zwarn,chi2,deltachi2,spectype,subtype
09ps,1,39633332819987400,310,6,20210409,243.535685612622,55.6947960893799,0.0,0.0,0.0,False,north,243.535898,55.694846,0.1065,PTF-iPTF,1.0,None,None,PTF09ps,PTF09ps,-0.00199570145091582,4.13115987161332e-48,1570.0,9e+99,1.94266889222573e+84,STAR,CV
09r,1,39632991206508429,25860,8,20220125,214.744141024649,35.3875794036507,0.0,0.0,0.0,False,north,214.744304,35.387778,0.027,PTF-iPTF,1.0,None,None,PTF09r,PTF09r,0.0279601993716039,5.96129333564834e-06,0.0,8315.08099657297,1711.28129690886,GALAXY,
09sg,1,39632941034242808,24310,4,20220221,203.86875380757,33.0090221689328,0.0,0.0,0.0,False,north,203.871082,33.005594,0.0453,PTF-iPTF,1.0,None,None,PTF09sg,PTF09sg,0.045456109560384,3.12669822051397e-06,0.0,8885.56478559971,8504.38339915872,GALAXY,
09si,1,39633132084789477,336,0,20210407,241.03815,42.88932,0.0,0.0,0.0,False,north,241.041463,42.890875,0.038,PTF-iPTF,1.0,None,None,PTF09si,PTF09si,-0.00199569129234795,4.13114935733491e-48,1570.0,9e+99,1.94266889222573e+84,STAR,CV
09si,1,39633132084789477,337,0,20210410,241.03815,42.88932,0.0,0.0,0.0,False,north,241.041463,42.890875,0.038,PTF-iPTF,1.0,None,None,PTF09si,PTF09si,0.0392826240233265,1.11589635912203e-05,0.0,10180.4021703377,2487.25516661257,GALAXY,
09si,1,39633132084789477,343,0,20210430,241.03815,42.88932,0.0,0.0,0.0,False,north,241.041463,42.890875,0.038,PTF-iPTF,1.0,None,None,PTF09si,PTF09si,0.0392665926944772,6.14935586545745e-06,0.0,13092.5663228333,5825.10496935248,GALAXY,
09u,1,39633063390479055,25861,6,20220124,217.414962286943,39.1585822051444,0.0,0.0,0.0,False,north,217.415039,39.159028,0.126,PTF-iPTF,1.0,None,None,PTF09u,PTF09u,0.126945966689769,1.30420943080281e-05,0.0,7888.52274248004,512.750920504332,GALAXY,
09uj,1,39633300964248355,179,4,20210428,215.045251924977,53.5616671847243,0.0,0.0,0.0,False,north,215.046455,53.561401,0.0657,PTF-iPTF,1.0,None,None,PTF09uj,PTF09uj,0.0649774101170931,6.72614394522528e-06,0.0,8256.94614307582,822.443984344602,GALAXY,
09uj,1,39633300964248355,183,5,20210509,215.045251924977,53.5616671847243,0.0,0.0,0.0,False,north,215.046455,53.561401,0.0657,PTF-iPTF,1.0,None,None,PTF09uj,PTF09uj,0.0649900422909597,6.20026384628545e-06,0.0,8599.56231275201,844.614729255438,GALAXY,
09uj,1,39633300964248355,184,5,20210529,215.045251924977,53.5616671847243,0.0,0.0,0.0,False,north,215.046455,53.561401,0.0657,PTF-iPTF,1.0,None,None,PTF09uj,PTF09uj,0.0649897566572163,6.60531187300044e-06,0.0,8253.44563868642,1071.11885356274,GALAXY,
09wa,1,39628527959542665,21220,9,20210519,222.666670257598,32.2710391282307,0.0,0.0,0.0,False,north,222.667369,32.270088,0.09,PTF-iPTF,1.0,None,None,PTF09wa,PTF09wa,0.0868784673774001,5.81348808463558e-06,0.0,9739.12832567096,1645.84862878919,GALAXY,
10aadb,1,2843115689869312,3370,6,20211107,35.6467500052444,25.1374313819682,0.0,0.0,0.0,False,south,35.64689,25.137566,0.0627,PTF-iPTF,1.0,None,None,PTF10aadb,PTF10aadb,0.0619379762856021,3.37252387977659e-06,0.0,541267.018143713,196803.662339151,GALAXY,
10aadb,1,2843115689869312,6508,4,20211202,35.6467500052444,25.1374313819682,0.0,0.0,0.0,False,south,35.64689,25.137566,0.0627,PTF-iPTF,1.0,None,None,PTF10aadb,PTF10aadb,0.0619330569061314,2.80233364857984e-06,0.0,572819.696181536,213435.240029573,GALAXY,
10aadb,1,39628376708743823,23931,1,20211113,35.6467500052444,25.1374313819682,0.0,0.0,0.0,False,south,35.64689,25.137566,0.0627,PTF-iPTF,1.0,None,None,PTF10aadb,PTF10aadb,0.0620007857048934,4.61441903189294e-06,0.0,286808.469149321,105741.372690439,GALAXY,
10aaea,1,39636779485105486,21232,5,20211120,351.847823516687,7.98897258580856,0.0,0.0,0.0,False,south,351.847586,7.989021,0.16,PTF-iPTF,1.0,None,None,PTF10aaea,PTF10aaea,0.165529758916465,3.14421181913469e-05,0.0,8120.28953733295,1458.8086184375,GALAXY,
10aagd,1,39628289152650195,24481,4,20211021,127.122439435787,21.1263804876333,0.0,0.0,0.0,False,south,127.121068,21.12624,0.11,PTF-iPTF,1.0,None,None,PTF10aagd,PTF10aagd,0.110771469849123,1.22755592310614e-05,0.0,8217.94334706664,1658.77992245555,GALAXY,
10aaho,2,39628161444479958,25760,3,20211016,32.7489976611094,15.7845494722686,0.0,0.0,0.0,False,south,32.755376,15.785523,0.11,PTF-iPTF,1.0,None,None,PTF10aaho,PTF10aaho,0.179858977495311,4.09854108827476e-05,0.0,7653.05332086235,151.502360218205,GALAXY,
10aajv,1,39627823433911609,24637,2,20211218,147.184315065267,1.53270745314489,0.0,0.0,0.0,False,north,147.18434,1.532675,0.0638,PTF-iPTF,1.0,None,None,PTF10aajv,PTF10aajv,0.0630970441036664,4.15990907543478e-06,0.0,8860.90081235766,1225.13223484159,GALAXY,
10aauo,1,39633472045713326,22861,0,20211125,149.974611951175,68.1011895918385,0.0,0.0,0.0,False,north,149.976068,68.100706,0.035,PTF-iPTF,1.0,None,None,PTF10aauo,PTF10aauo,0.0358080528227499,1.13613607517301e-06,0.0,13271.3867264986,39684.6620749235,GALAXY,
10aawe,1,39633368492541335,25302,6,20220218,185.406208333,58.4966388889,0.0,0.0,0.0,False,north,185.410335,58.501687,0.033,PTF-iPTF,1.0,None,None,PTF10aawe,PTF10aawe,0.0326970306381889,2.04578856467065e-06,0.0,25828.6250940263,56512.4895012677,GALAXY,
10abcl,1,39628326247077769,21240,4,20211014,348.902150755538,22.8135264951004,0.0,0.0,0.0,False,south,348.902908,22.812886,0.061,PTF-iPTF,1.0,None,None,PTF10abcl,PTF10abcl,0.0611934965979344,7.45372228987609e-06,0.0,7994.81863884628,915.760778620839,GALAXY,
10abjv,1,39627983895400971,24128,0,20211015,22.212617489693,8.28077650051885,0.0,0.0,0.0,False,south,22.212466,8.28006,0.076,PTF-iPTF,1.0,None,None,PTF10abjv,PTF10abjv,0.0762870049345727,2.38359052300708e-06,0.0,8032.58790683746,7206.89574885368,GALAXY,
10abjv,1,39627983895400971,25735,3,20220125,22.212617489693,8.28077650051885,0.0,0.0,0.0,False,south,22.212466,8.28006,0.076,PTF-iPTF,1.0,None,None,PTF10abjv,PTF10abjv,0.0762862625639001,3.62925420303743e-06,0.0,8285.88865369558,3510.13209528103,GALAXY,
10abwy,1,39628149792703433,25760,8,20211016,33.6713910468801,15.2914196651519,0.0,0.0,0.0,False,south,33.670888,15.291992,0.078,PTF-iPTF,1.0,None,None,PTF10abwy,PTF10abwy,0.0760853129303067,1.93791246971186e-05,0.0,8435.47308689915,3081.80029946147,GALAXY,
10acgq,1,39633453263618930,20659,1,20220314,184.435670719674,66.0443945203062,0.0,0.0,0.0,False,north,184.433884,66.043603,0.1047,PTF-iPTF,1.0,None,None,PTF10acgq,PTF10acgq,0.104789110704194,5.31193014495183e-06,0.0,8618.29209113121,3978.24693965912,GALAXY,
10acnz,2,39633371571159634,23735,5,20220121,176.234525333742,58.6627052442622,0.0,0.0,0.0,False,north,176.244443,58.66175,0.062,PTF-iPTF,1.0,None,None,PTF10acnz,PTF10acnz,0.0615854194425556,1.34902910765972e-05,0.0,13432.5469166152,10469.6781051303,GALAXY,
10acro,1,39627784921813037,6750,8,20211222,11.6039314005623,-0.00297931008267105,0.0,0.0,0.0,False,south,11.600161,-0.012081,0.0993,PTF-iPTF,1.0,None,None,PTF10acro,PTF10acro,0.363251418257488,0.000153313905673644,4.0,7602.20522469189,4.08167490828782,GALAXY,
10ban,1,39633203689948369,25083,8,20220218,152.580031922345,47.3183508645717,0.0,0.0,0.0,False,north,152.579522,47.318971,0.18,PTF-iPTF,1.0,None,None,PTF10ban,PTF10ban,0.180766162296712,1.86642331138841e-05,0.0,7373.97167494893,264.253445724957,GALAXY,
10bbo,2,39627998994895096,20115,6,20210611,211.320697747472,8.7956744200877,0.0,0.0,0.0,False,south,211.3248,8.795191,0.15,PTF-iPTF,1.0,None,None,PTF10bbo,PTF10bbo,0.157557354860091,1.46916998342201e-05,0.0,9062.49834832549,907.149907141924,GALAXY,
10bci,1,39633345692304588,81066,5,20210326,179.203758838581,56.6731484654392,0.0,0.0,0.0,False,north,179.202475,56.673317,0.118,PTF-iPTF,1.0,None,None,PTF10bci,PTF10bci,0.118820260354288,1.13932850641833e-05,0.0,9333.00033862889,1228.56648831069,GALAXY,
10bcn,1,39633001016986232,21163,9,20210607,213.489002026154,36.1232394923348,0.0,0.0,0.0,False,north,213.489264,36.123365,0.154,PTF-iPTF,1.0,None,None,PTF10bcn,PTF10bcn,0.155153644861421,7.63910510711845e-06,0.0,10127.6714078188,2207.08260309696,GALAXY,
10bcn,1,39633001016986232,25860,5,20220125,213.489002026154,36.1232394923348,0.0,0.0,0.0,False,north,213.489264,36.123365,0.154,PTF-iPTF,1.0,None,None,PTF10bcn,PTF10bcn,0.155077637670365,7.14148697105919e-06,0.0,8310.34656536579,1810.46764647961,GALAXY,
